"Age","Distance","Club","Year","Gender","Place","Name"
34,4485,"NEM",2000,NA,20,"Wendy Gulley"
32,4480,"UCLA",2000,NA,21,"Amy Atchison"
32,4475,"NEM",2000,NA,22,"Karen Latham"
31,4430,"WPM",2000,NA,23,"Geneve E. Hendricks"
33,4405,"SMMM",2000,NA,24,"Maria G. Estrada-Frey"
34,4350,"NEM",2000,NA,25,"Kelly Strickland"
34,4350,"NEM",2000,NA,26,"Patty Hodge"
32,4345,"NEM",2000,NA,27,"Madeline Nagy"
33,4330,"ISF",2000,NA,28,"Sachi Sawamura"
32,4325,"LAM",2000,NA,29,"Leslie A. Warren"
32,4300,"ISF",2000,NA,30,"Kris Houchens"
31,4290,"CRUZ",2000,NA,31,"Elizabeth Nilsen"
31,4285,"TAM",2000,NA,32,"Karen L. Simontacchi"
30,4275,"TAM",2000,NA,33,"Katie Kelly"
30,4275,"NEM",2000,NA,34,"Sara D. Beliveau"
32,4230,"EMP",2000,NA,35,"Christine Laidlaw"
31,4230,"WPM",2000,NA,36,"Kate Hyland"
33,4230,"EMP",2000,NA,37,"Cecelia Coleman"
32,4220,"WMAC",2000,NA,38,"Melodee A Nugent"
31,4215,"NEM",2000,NA,39,"Carolyn McWilliams"
33,4175,"MARY",2000,NA,40,"Iracema Leroi"
34,4150,"SANR",2000,NA,41,"Janet M. Kaehms"
32,4150,"NEM",2000,NA,42,"Kim Wesson"
34,4130,"NEM",2000,NA,43,"Anne L. Tilley"
30,4115,"MVM",2000,NA,44,"Lynn Reda"
30,4100,"NEM",2000,NA,45,"Jen Minotti"
33,4100,"NEM",2000,NA,46,"Sharon Van Dolman"
32,4085,"NEM",2000,NA,47,"Samantha Hand"
34,4050,"UCLA",2000,NA,48,"Andrea M Ghea"
31,4035,"NEM",2000,NA,49,"Cindy Curtis"
30,4025,"UCLA",2000,NA,50,"Suzanne Porush"
33,4015,"DAM",2000,NA,51,"Carol Irving"
33,4000,"ARIZ",2000,NA,52,"Pamela M. Neuharth"
32,3950,"NEM",2000,NA,53,"Mary Sarotte"
33,3900,"ISF",2000,NA,54,"Michelle Childress"
31,3900,"NEM",2000,NA,55,"Mei-An Tsu"
30,3875,"SANR",2000,NA,56,"Kristin L. Sand"
32,3870,"NEM",2000,NA,57,"Jamie Caplan"
30,3860,"EMP",2000,NA,58,"Alexandra S. Ness"
31,3840,"WPM",2000,NA,59,"Christine Dunnery"
30,3825,"NEM",2000,NA,60,"Kate B. Zarou"
32,3815,"UCLA",2000,NA,61,"Kacy Magedman"
30,3810,"NEM",2000,NA,62,"Amanda Telford"
34,3795,"DAM",2000,NA,63,"Julie E. Veress"
34,3760,"OREG",2000,NA,64,"Ellen M. Broido"
30,3735,"WPM",2000,NA,65,"Karin Lukas-Cox"
34,3725,"DAM",2000,NA,66,"Kirsten Gilardi"
32,3720,"ISF",2000,NA,67,"Laura Finch"
30,3715,"EMP",2000,NA,68,"Lisa Fahey"
33,3700,"DAM",2000,NA,69,"Helen S. Singmaster"
30,3680,"DAM",2000,NA,70,"Molly A. Webb-Brewer"
34,3665,"NEM",2000,NA,71,"Jana Slezak"
34,3640,"EMP",2000,NA,72,"Julie Sukman"
30,3635,"IM",2000,NA,73,"Mary C. Nelson"
34,3630,"NEM",2000,NA,74,"Diane M. Robitaille"
30,3625,"NEM",2000,NA,75,"Tamara Metz"
34,3595,"EMP",2000,NA,76,"Janet Silverman"
32,3560,"NEM",2000,NA,77,"Wendy Birge"
33,3555,"CHMS",2000,NA,78,"Nancy E. McElwain"
32,3505,"DSSM",2000,NA,79,"Jill Beierle"
33,3485,"STAN",2000,NA,80,"Janet L Wiener"
34,3480,"EMP",2000,NA,81,"Jennifer Lickson"
31,3450,"NEM",2000,NA,82,"Fiona Rotberg"
34,3425,"NEM",2000,NA,83,"Elizabeth Stine"
32,3415,"EMP",2000,NA,84,"Andrea Nicolas"
32,3410,"UCLA",2000,NA,85,"Laurie L. Stern"
33,3395,"DAM",2000,NA,86,"Lizabeth Bowen"
33,3365,"DAM",2000,NA,87,"Dorthea Y. Panayotou"
31,3335,"NEM",2000,NA,88,"Emily Andrada-Brown"
30,3325,"NEM",2000,NA,89,"Karen Jenovese"
34,3320,"WPM",2000,NA,90,"Marty Hill"
34,3290,"EMP",2000,NA,91,"Lesley M. O'Malley"
32,3250,"DAM",2000,NA,92,"Tracey R. Sih"
30,3155,"DAM",2000,NA,93,"Cara Field"
31,3150,"ISF",2000,NA,94,"Claire Welage"
32,3150,"DST",2000,NA,95,"Gertrud E. Perry"
34,3150,"ISF",2000,NA,96,"Patricia Schmidt-William"
34,3100,"DAM",2000,NA,97,"Rose H. Kelly"
33,3100,"WILD",2000,NA,98,"Lisa Rakes"
34,3035,"DAM",2000,NA,99,"Cathy Miller"
32,3025,"DAM",2000,NA,100,"Birgit Puschner"
34,3025,"ISF",2000,NA,101,"Amy Fillenwarth"
30,3000,"DAM",2000,NA,102,"Tracy L. Winsor"
31,2990,"DAM",2000,NA,103,"Christina M. Rosado"
34,2930,"EMP",2000,NA,104,"Margaret Cimino"
31,2925,"NEM",2000,NA,105,"Harriet Lacey"
33,2870,"SANR",2000,NA,106,"Brooke Petersen"
31,2800,"NEM",2000,NA,107,"Molly Hartle"
34,2715,"NEM",2000,NA,108,"Stephanie Lichtman"
34,2685,"NEM",2000,NA,109,"Robin Lensing"
34,2485,"EMP",2000,NA,110,"Laura Barton"
36,4975,"DAM",2000,NA,1,"Kerry N. Halsted"
39,4940,"NEM",2000,NA,2,"Julie Nievergelt"
38,4925,"GCMT",2000,NA,3,"Robin L. Klestinec"
36,4915,"ARIZ",2000,NA,4,"Paula Pollard"
36,4860,"LAM",2000,NA,5,"Lucille R. Glassman"
35,4830,"CONN",2000,NA,6,"Marcia Cleveland"
35,4805,"ISF",2000,NA,7,"Tina Childress-Brow"
38,4750,"NEM",2000,NA,8,"Kathleen Tetreault"
37,4650,"ISF",2000,NA,9,"Debra Riker"
37,4620,"TAM",2000,NA,10,"Susan Casey"
39,4620,"NEM",2000,NA,11,"Leslie Cooper"
35,4585,"DSSM",2000,NA,12,"Cynthia J. Wyels"
38,4575,"NEM",2000,NA,13,"Karen Smyers"
38,4560,"NEM",2000,NA,14,"Mary Jo Hanson"
35,4545,"NEM",2000,NA,15,"Jennifer Ferree"
38,4505,"EMP",2000,NA,16,"Abigail Falk"
37,4475,"NEM",2000,NA,17,"Susan Kan"
37,4450,"CRUZ",2000,NA,18,"Ann M. Hemington"
36,4440,"FOG",2000,NA,19,"Laura Zovickian"
36,4430,"AKMS",2000,NA,20,"Annie Haxby"
35,4415,"ARKM",2000,NA,21,"Lori T. Terlouw"
39,4415,"LOM",2000,NA,22,"Mary Cain"
35,4410,"NEM",2000,NA,23,"Lisa Ackerman"
36,4400,"NEM",2000,NA,24,"Paula J. Lessard"
37,4365,"EMP",2000,NA,25,"Pamela Blaikie"
39,4340,"NEM",2000,NA,26,"Karen Gleason"
36,4270,"DAM",2000,NA,27,"Stephanie A. Koop"
36,4270,"DAM",2000,NA,28,"Lynda Yancher"
36,4265,"EMP",2000,NA,29,"Debra Nelson"
35,4250,"NEM",2000,NA,30,"Michele Roy"
38,4250,"SLAM",2000,NA,31,"Susan M. Richmond"
35,4250,"DSSM",2000,NA,32,"Margo Butler"
36,4230,"NEM",2000,NA,33,"Laurie Ellis"
37,4225,"USAB",2000,NA,34,"Kim Hull"
37,4220,"DAM",2000,NA,35,"Julie A. Langston"
38,4220,"DAM",2000,NA,36,"Anietta R. Tice"
38,4205,"SMMM",2000,NA,37,"Denise Houchens"
39,4200,"ARKM",2000,NA,38,"Mary Kay Fitzgerald"
39,4185,"USAB",2000,NA,39,"Sara L. Pyle"
36,4175,"NEM",2000,NA,40,"Beth Willis"
37,4175,"NEM",2000,NA,41,"Shereen Barry"
38,4170,"UCLA",2000,NA,42,"Lori Miller"
35,4170,"DSSM",2000,NA,43,"Nessa M. Hawkins"
38,4165,"NEM",2000,NA,44,"Martha Freeze"
37,4150,"TAM",2000,NA,45,"Kristine Buckley"
38,4115,"LAM",2000,NA,46,"Catherine L. Frye"
35,4100,"CONN",2000,NA,47,"S. Whitney Welch"
35,4100,"WILD",2000,NA,48,"Julie Pauly"
36,4100,"ISF",2000,NA,49,"Nicole Tate"
37,4095,"SPM",2000,NA,50,"Christine T. Swanson"
35,4075,"NEM",2000,NA,51,"Georgia Wood"
36,4070,"NML",2000,NA,52,"Annie Parnell"
39,4065,"ISF",2000,NA,53,"Ann Schnieders"
38,4015,"SWM",2000,NA,54,"Melanie Perry"
38,4000,"DAM",2000,NA,55,"Pamela C. Ronald"
38,4000,"DAM",2000,NA,56,"Nancy C. Wright"
35,4000,"ISF",2000,NA,57,"Amy Farmer"
36,3970,"TAM",2000,NA,58,"Kelley Ryan Warner"
35,3925,"EMP",2000,NA,59,"Jennifer White"
37,3920,"MVM",2000,NA,60,"Jennifer Ramberg"
38,3910,"AKMS",2000,NA,61,"Elizabeth Einset"
38,3900,"GCMT",2000,NA,62,"Diane K. Roller"
39,3885,"NEM",2000,NA,63,"Mimi Gleason"
36,3875,"NEM",2000,NA,64,"Laura Swain"
38,3870,"ISF",2000,NA,65,"Julie Bickel"
36,3870,"LAM",2000,NA,66,"Julia M. Paas"
38,3860,"ISF",2000,NA,67,"Sonia Childress-Hoek"
37,3840,"NEM",2000,NA,68,"Christy E. Evans"
38,3815,"NEM",2000,NA,69,"Sara Prescott"
39,3800,"CONN",2000,NA,70,"Caitlin Mc Varish"
36,3790,"EMP",2000,NA,71,"Bodil Arlander"
37,3760,"NEM",2000,NA,72,"Jenny Marshall"
38,3760,"NEM",2000,NA,73,"Joni Vanderbilt"
38,3755,"NEM",2000,NA,74,"Diane Hughes"
37,3700,"SANR",2000,NA,75,"Suzanne M. Van Cleve"
35,3700,"NEM",2000,NA,76,"Shelly Ironside"
35,3680,"NEM",2000,NA,77,"Laurie Damianos"
36,3660,"NEM",2000,NA,78,"Kimberly Waggoner"
39,3650,"ISF",2000,NA,79,"Ruth Miles"
37,3650,"NEM",2000,NA,80,"Carolyn C. Foley"
38,3650,"NEM",2000,NA,81,"Lyn Duncan"
39,3625,"FINS",2000,NA,82,"Merrill Hilf"
38,3620,"NEM",2000,NA,83,"Terri Meyer"
38,3615,"ISF",2000,NA,84,"Joyce Davis"
39,3600,"AAM",2000,NA,85,"Lori Oducayen"
35,3600,"WPM",2000,NA,86,"Karin Papes"
39,3595,"NEM",2000,NA,87,"Denise Driscoll"
36,3575,"AAM",2000,NA,88,"Linda Nollette"
36,3575,"NEM",2000,NA,89,"Nancy Ziel"
35,3560,"NEM",2000,NA,90,"Holly Paras"
36,3550,"LOM",2000,NA,91,"Joanna F. Johnsson"
36,3535,"SPM",2000,NA,92,"Patricia R. Morrow"
38,3515,"NEM",2000,NA,93,"Kathleen Kinz-Smith"
35,3500,"SWAM",2000,NA,94,"Trisha Commons"
39,3500,"MOVY",2000,NA,95,"Cheryl Jackson"
38,3500,"O*H*",2000,NA,96,"Louise Barton"
37,3490,"NEM",2000,NA,97,"Lucyann Zeller"
35,3475,"EMP",2000,NA,98,"Joan Heath"
37,3465,"EMP",2000,NA,99,"Tracy LeBright"
39,3450,"OREG",2000,NA,100,"Sandra Clark Chavez"
36,3430,"ISF",2000,NA,101,"Sharon McGoff"
36,3385,"UNAT",2000,NA,102,"Kara Aley"
36,3385,"NEM",2000,NA,103,"Debra Taylor"
36,3350,"CFYM",2000,NA,104,"Robert Williams"
38,3310,"MOVY",2000,NA,105,"Dana Berkbuegler"
38,3250,"NEM",2000,NA,106,"Bonnie Varney"
37,3245,"NEM",2000,NA,107,"Jacqueline NeJaime"
38,3225,"EMP",2000,NA,108,"Joan Roche"
36,3210,"SC",2000,NA,109,"Mami Sakamoto"
39,3200,"NEM",2000,NA,110,"Cathleen Girouard"
37,3150,"NCMS",2000,NA,111,"Karen Tallmadge"
37,3145,"EMP",2000,NA,112,"Jill Moberg"
36,3140,"EMP",2000,NA,113,"Kathleen Jaeger"
38,3125,"ISF",2000,NA,114,"Joy Dvorak"
39,3120,"NEM",2000,NA,115,"Leslie Spieth"
36,3090,"WHSC",2000,NA,116,"Martha Hilron"
36,3075,"CFYM",2000,NA,117,"Kathy Fahnline"
37,3060,"NEM",2000,NA,118,"Heather L. Grace"
39,3025,"OREG",2000,NA,119,"Kelly A. Harrison"
39,3005,"SMMM",2000,NA,120,"Mary (Mitzi) Zwierlein"
38,2995,"NEM",2000,NA,121,"Lynne Lamore"
39,2905,"NEM",2000,NA,122,"Jean Afzali"
39,2800,"ISF",2000,NA,123,"Tari Hancock"
35,2790,"PNA",2000,NA,124,"Nancy E. Lane"
37,2750,"NEM",2000,NA,125,"Deborah Edin"
35,2720,"OREG",2000,NA,126,"Lisa J. Giuliano"
36,2620,"DAM",2000,NA,127,"Sheryl K. Shook"
38,2565,"EMP",2000,NA,128,"Stephanie Malik"
38,2530,"DAM",2000,NA,129,"Barbara R. Molloy"
37,2500,"DAM",2000,NA,130,"Carolyn J. Thomas"
35,2420,"LAM",2000,NA,131,"Laurie Price"
38,2150,"NEM",2000,NA,132,"Heidi Anderson"
37,2000,"ISF",2000,NA,133,"Mary L. Thurman"
38,1775,"ISF",2000,NA,134,"Karen Eclavea"
39,1700,"NEM",2000,NA,135,"Lorraine Neal"
41,4810,"DSSM",2000,NA,1,"Heide L. Christensen"
40,4680,"TULS",2000,NA,2,"Leslie J. Henshaw"
40,4640,"NEM",2000,NA,3,"Constance Hallett"
42,4640,"NEM",2000,NA,4,"Tracy Grilli"
40,4600,"SPM",2000,NA,5,"Andrea D. Nauta"
43,4595,"SPM",2000,NA,6,"JoAnn Harrelson"
40,4570,"HOTS",2000,NA,7,"Sally Maddox"
42,4555,"TAM",2000,NA,8,"Barbara  C Wheeler"
41,4530,"CRUZ",2000,NA,9,"Kathryn Vatsula"
44,4400,"TOC",2000,NA,10,"Phyllis E. Quinn"
41,4385,"GCMT",2000,NA,11,"Karen Staursky"
42,4365,"DSSM",2000,NA,12,"Niki Stokols"
40,4350,"NEM",2000,NA,13,"Leslie A. Craven"
44,4330,"LAM",2000,NA,14,"Wendy A. Johnson"
41,4325,"NEM",2000,NA,15,"Jane F. Zoufaly"
44,4300,"LAM",2000,NA,16,"Martha Seaver"
44,4285,"NEM",2000,NA,17,"Karla Nisley-Black"
44,4270,"NEM",2000,NA,18,"Wiki Royden"
44,4270,"NEM",2000,NA,19,"Nancy Johnston"
42,4270,"NEM",2000,NA,20,"Kim Goodwin"
40,4250,"SANR",2000,NA,21,"Izzie A. McGregor-Crane"
43,4250,"NEM",2000,NA,22,"Margery A. Waldron"
42,4245,"NEM",2000,NA,23,"Linda A. Hargreaves"
41,4240,"MVM",2000,NA,24,"Irene Smith"
44,4235,"DSSM",2000,NA,25,"Nancy Kirkpatrick-Ren"
44,4225,"EMP",2000,NA,26,"Laurie Cotter"
44,4200,"NEM",2000,NA,27,"Kathy Harris"
43,4190,"NEM",2000,NA,28,"Cathy Corning"
42,4185,"LAM",2000,NA,29,"Mira C. Dabrowski"
43,4135,"NEM",2000,NA,30,"Jenny Luker"
41,4120,"ISF",2000,NA,31,"Christine Pedersen"
42,4120,"TAM",2000,NA,32,"Anne C. Claman"
40,4120,"EMP",2000,NA,33,"Bernadette O'Connor"
43,4080,"EMP",2000,NA,34,"Mary B. Whitwell"
41,4075,"LVTC",2000,NA,35,"Alice Klingmann"
41,4075,"OREG",2000,NA,36,"Laura Schob"
44,4075,"NEM",2000,NA,37,"Anne M. Marchetta"
40,4075,"CRAQ",2000,NA,38,"Ruth M. Niedrich"
44,4070,"DSSM",2000,NA,39,"Julie Dee Hoffman"
44,4040,"NEM",2000,NA,40,"Sally Fellows"
43,4040,"LAM",2000,NA,41,"Victoria E. Igel"
42,4035,"SWM",2000,NA,42,"Theresa Murphey"
40,4020,"NIAG",2000,NA,43,"Sally Sackett"
40,4015,"PNA",2000,NA,44,"Mary Ann White"
42,4010,"TAM",2000,NA,45,"Teresa Owen"
41,4010,"NEM",2000,NA,46,"Jan Boland"
42,4010,"LAM",2000,NA,47,"Kathy A. Englar"
43,4000,"ARIZ",2000,NA,48,"Deborah Kunow"
40,3965,"EMP",2000,NA,49,"Andrea Cimino"
40,3960,"NEM",2000,NA,50,"Rita Polatin"
42,3950,"CFYM",2000,NA,51,"Tammi Jeffery"
40,3950,"SANR",2000,NA,52,"Jocelyn L. Dunning"
40,3935,"NEM",2000,NA,53,"Elizabeth MacBride"
42,3930,"NEM",2000,NA,54,"Susan Hammang"
40,3925,"NEM",2000,NA,55,"Kathryn E. Farrington"
40,3910,"EMP",2000,NA,56,"Mary K. Bolster"
42,3890,"EMP",2000,NA,57,"Maggie Meehan"
44,3875,"DAM",2000,NA,58,"Jamie G. Anderson"
40,3860,"ISF",2000,NA,59,"Nancy J. Hormann"
40,3825,"NIAG",2000,NA,60,"Celia Applegate"
